project_match_id,member_count,source_count,sources,country_iso3,year,member_record_keys,group_basis
PM-42AC39360BC48F,2,2,aiddata|chapo,NER,2013,aiddata:32661|chapo:32661,direct_reference
PM-D2F61AE80797CE,4,4,aiddata|cgef|cla|codf,NER,2013,aiddata:58130|cgef:NE.009|cla:NE.009|codf:NE.009,human_confirmed
PM-AD441938F4695F,2,2,aiddata|chapo,NER,2014,aiddata:58558|chapo:58558,direct_reference
PM-E2C3DAAF2D74F0,3,3,aiddata|cla|codf,NER,2014,aiddata:58683|cla:NE.007|codf:NE.007,human_confirmed
PM-C25B101BD48F6F,2,2,aiddata|chapo,NER,2016,aiddata:58391|chapo:58391,direct_reference
PM-1516A9851A6201,2,2,aiddata|chapo,NER,2017,aiddata:58559|chapo:58559,direct_reference
PM-B3260806738A9A,2,2,aiddata|chapo,NER,2017,aiddata:58561|chapo:58561,direct_reference
PM-98F0DEDE0DC11B,2,2,aiddata|chapo,NER,2018,aiddata:58563|chapo:58563,direct_reference
PM-DA285A35C63CAC,2,2,aiddata|chapo,NER,2019,aiddata:58562|chapo:58562,direct_reference
PM-00FFD2F07A4B41,2,2,aiddata|chapo,NER,2020,aiddata:93135|chapo:93135,direct_reference
PM-30F2BC54BD9CD6,2,2,aiddata|chapo,NER,2020,aiddata:97948|chapo:97948,direct_reference
PM-3BA22EA63B1707,2,2,aiddata|chapo,NER,2020,aiddata:92840|chapo:92840,direct_reference
PM-3FD5A78C4F7E53,2,2,aiddata|chapo,NER,2020,aiddata:92867|chapo:92867,direct_reference
PM-7EFAC4F280AF43,2,2,aiddata|chapo,NER,2020,aiddata:92841|chapo:92841,direct_reference
PM-34C4B77A699FEC,2,2,aiddata|chapo,NER,2021,aiddata:92815|chapo:92815,direct_reference
PM-579BF738D79743,2,2,aiddata|chapo,NER,2021,aiddata:92813|chapo:92813,direct_reference
PM-7FDE067C41202E,2,2,aiddata|chapo,NER,2021,aiddata:92812|chapo:92812,direct_reference
PM-4F2198AE8AEDFE,3,3,aiddata|cla|cofi,NGA,2002,aiddata:27948|cla:NG.004|cofi:NGA2021006:debt,human_confirmed
PM-C703B964DAB084,2,2,aiddata|chapo,NGA,2002,aiddata:1994|chapo:1994,direct_reference
PM-0BFBE94F9E75B9,2,2,aiddata|chapo,NGA,2006,aiddata:1821|chapo:1821,direct_reference
PM-24B7DC183105D4,2,2,aiddata|chapo,NGA,2007,aiddata:30629|chapo:30629,direct_reference
PM-7F607537812F23,2,2,aiddata|chapo,NGA,2007,aiddata:1987|chapo:1987,direct_reference
PM-88DFFD09548D45,2,2,aiddata|chapo,NGA,2009,aiddata:73396|chapo:73396,direct_reference
PM-E73FA239BC471C,2,2,aiddata|chapo,NGA,2009,aiddata:34916|chapo:34916,direct_reference
PM-C4A2D23D3578E9,2,2,cla|codf,NGA,2010,cla:NG.012|codf:NG.012,automatic_high_confidence
